,semester,program,min_waitlisted_students
156,202010,EC-MS-CS,1490
157,202010,EC-MS-DAEN,1519
158,202010,EC-MS-ELEN,560
159,202010,EC-MS-ISYS,558
160,202010,EC-MS-TCOM,278
161,202070,EC-MS-AIT,1260
162,202070,EC-MS-CEIE,392
163,202070,EC-MS-CS,345
164,202070,EC-MS-DAEN,2533
165,202070,EC-MS-ELEN,559
166,202070,EC-MS-ISYS,190
167,202070,EC-MS-OPRS,429
168,202070,EC-MS-STAT,428
169,202070,EC-MS-SWE,526
170,202070,EC-MS-TCOM,852
171,202110,EC-MS-AIT,1063
172,202110,EC-MS-CEIE,1231
173,202110,EC-MS-CPE,558
174,202110,EC-MS-CS,1192
175,202110,EC-MS-DAEN,2384
176,202110,EC-MS-ELEN,1008
177,202110,EC-MS-ISYS,303
178,202110,EC-MS-OPRS,429
179,202110,EC-MS-SWE,357
180,202110,EC-MS-SYST,429
181,202110,EC-MS-TCOM,568
182,202170,EC-MS-AIT,1837
183,202170,EC-MS-BIOE,290
184,202170,EC-MS-CEIE,1328
185,202170,EC-MS-CPE,1309
186,202170,EC-MS-CS,3725
187,202170,EC-MS-DAEN,2831
188,202170,EC-MS-ELEN,1348
189,202170,EC-MS-ISA,2053
190,202170,EC-MS-ISYS,957
191,202170,EC-MS-SWE,932
192,202170,EC-MS-TCOM,565
193,202210,EC-MS-AIT,937
194,202210,EC-MS-CEIE,1513
195,202210,EC-MS-CPE,979
196,202210,EC-MS-CS,1788
197,202210,EC-MS-DAEN,2235
198,202210,EC-MS-DFOR,435
199,202210,EC-MS-ELEN,420
200,202210,EC-MS-ISYS,1937
201,202210,EC-MS-SWE,1284
202,202210,EC-MS-TCOM,565
203,202270,EC-MS-AIT,1505
204,202270,EC-MS-CEIE,1370
205,202270,EC-MS-CPE,1985
206,202270,EC-MS-CS,2235
207,202270,EC-MS-DAEN,1953
208,202270,EC-MS-DFOR,989
209,202270,EC-MS-ELEN,2636
210,202270,EC-MS-ISA,1102
211,202270,EC-MS-ISYS,2682
212,202270,EC-MS-SWE,1551
213,202270,EC-MS-TCOM,854
214,201970,EC-MS-ELEN,713
215,201970,EC-MS-ISA,134
216,202010,EC-MS-AIT,709
217,202010,EC-MS-CEIE,936
218,202010,EC-MS-CS,1490
219,202010,EC-MS-DAEN,1519
220,202010,EC-MS-ELEN,560
221,202010,EC-MS-ISYS,558
222,202010,EC-MS-TCOM,278
223,202070,EC-MS-AIT,1260
224,202070,EC-MS-CEIE,392
225,202070,EC-MS-CS,345
226,202070,EC-MS-DAEN,2533
227,202070,EC-MS-ELEN,559
228,202070,EC-MS-ISYS,190
229,202070,EC-MS-OPRS,429
230,202070,EC-MS-STAT,428
231,202070,EC-MS-SWE,526
232,202070,EC-MS-TCOM,852
233,202110,EC-MS-AIT,1063
234,202110,EC-MS-CEIE,1231
235,202110,EC-MS-CPE,558
236,202110,EC-MS-CS,1192
237,202110,EC-MS-DAEN,2384
238,202110,EC-MS-ELEN,1008
239,202110,EC-MS-ISYS,303
240,202110,EC-MS-OPRS,429
241,202110,EC-MS-SWE,357
242,202110,EC-MS-SYST,429
243,202110,EC-MS-TCOM,568
244,202170,EC-MS-AIT,1837
245,202170,EC-MS-BIOE,290
246,202170,EC-MS-CEIE,1328
247,202170,EC-MS-CPE,1309
248,202170,EC-MS-CS,3725
249,202170,EC-MS-DAEN,2831
250,202170,EC-MS-ELEN,1348
251,202170,EC-MS-ISA,2053
252,202170,EC-MS-ISYS,957
253,202170,EC-MS-SWE,932
254,202170,EC-MS-TCOM,565
255,202210,EC-MS-AIT,937
256,202210,EC-MS-CEIE,1513
257,202210,EC-MS-CPE,979
258,202210,EC-MS-CS,1788
259,202210,EC-MS-DAEN,2235
260,202210,EC-MS-DFOR,435
261,202210,EC-MS-ELEN,420
262,202210,EC-MS-ISYS,1937
263,202210,EC-MS-SWE,1284
264,202210,EC-MS-TCOM,565
265,202270,EC-MS-AIT,1505
266,202270,EC-MS-CEIE,1370
267,202270,EC-MS-CPE,1985
268,202270,EC-MS-CS,2235
269,202270,EC-MS-DAEN,1953
270,202270,EC-MS-DFOR,989
271,202270,EC-MS-ELEN,2636
272,202270,EC-MS-ISA,1102
273,202270,EC-MS-ISYS,2682
274,202270,EC-MS-SWE,1551
275,202270,EC-MS-TCOM,854
276,202310,EC-MS-AIT,1222
277,202310,EC-MS-BIOE,423
278,202310,EC-MS-BSTA,429
279,202310,EC-MS-CEIE,1088
280,202310,EC-MS-CPE,1333
281,202310,EC-MS-CS,1639
282,202310,EC-MS-DAEN,1639
283,202310,EC-MS-DFOR,418
284,202310,EC-MS-ELEN,1425
285,202310,EC-MS-ISA,972
286,202310,EC-MS-ISYS,1639
287,202310,EC-MS-SWE,1306
288,202310,EC-MS-SYST,429
289,202310,EC-MS-TCOM,422
