,Stu Term,Unnamed: 1,Stu Admit Term,Unnamed: 3,Record ID,Stu Visa Type,Stu Attribute BAM,Stu Admit Type,Stu Primary Degree Level,Stu Primary Major 1 College,Stu Primary Program,Stu Primary Program Code,Stu Primary Department,Unnamed: 14,Stu New/Returning Ind,Stu Residency Group,Course Sect College,Stu Registered Ind,Registration Status,Registration Status Date,Course Desc,Course Section,Course Sect Schedule Type,Course Sect Instruction Delivery Method Group,Course Sect Wiley Courses Ind,Course Sect Credits,Stu Course Registered Hours
0,202110,Spring 2021,201570,Fall 2015,CEC539,NA,'--,GR,Master,VSE,MS Data Analytics Engineering,VS-MS-DAEN,VS,Volgenau School of Engineering,R,VA,VSE,Y,**Web Registered**,11/11/2020,DAEN 690,DAEN 690 DL2,Seminar,Online,N,3,3
1,202110,Spring 2021,201570,Fall 2015,CEC647,NA,'--,GR,Master,VSE,MS Applied Info Technology,VS-MS-AIT,IST,Info Sciences & Technology,R,VA,VSE,Y,**Web Registered**,12/1/2020,AIT 660,AIT 660 DL1,Lecture,Online,N,3,3
2,202110,Spring 2021,201570,Fall 2015,CEC1694,NA,'--,GR,Master,VSE,MS Systems Engineering,VS-MS-SYST,SYST,Systems Engr & Operations Rsch,R,VA,VSE,Y,**Web Registered**,11/9/2020,OR 541,OR 541 DL1,Lecture,Online,N,3,3
3,202110,Spring 2021,201610,Spring 2016,CEC7,NA,'--,GR,Master,VSE,MS Information Systems,VS-MS-ISYS,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,11/4/2020,SWE 642,SWE 642 DL1,Lecture,Online,N,3,3
4,202110,Spring 2021,201610,Spring 2016,CEC1142,NA,'--,GR,Master,VSE,MS Electrical Engineering,VS-MS-ELEN,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,1/20/2021,ECE 799,ECE 799 006,Thesis,F2F,N,6-Jan,1
5,202110,Spring 2021,201610,Spring 2016,CEC1696,NA,'--,GR,Master,VSE,MS Applied Info Technology,VS-MS-AIT,IST,Info Sciences & Technology,R,VA,VSE,Y,**Web Registered**,11/19/2020,AIT 622,AIT 622 DL2,Lecture,Online,N,3,3
6,202110,Spring 2021,201610,Spring 2016,CEC1696,NA,'--,GR,Master,VSE,MS Applied Info Technology,VS-MS-AIT,IST,Info Sciences & Technology,R,VA,VSE,Y,**Web Registered**,12/2/2020,AIT 660,AIT 660 DL1,Lecture,Online,N,3,3
7,202110,Spring 2021,201670,Fall 2016,CEC117,NA,'--,GR,Master,VSE,MS Telecommunications,VS-MS-TCOM,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,1/8/2021,TCOM 570,TCOM 570 001,Lecture,Online,N,3,3
8,202110,Spring 2021,201670,Fall 2016,CEC1220,NA,'--,GR,Master,VSE,MS Applied Info Technology,VS-MS-AIT,IST,Info Sciences & Technology,R,VA,VSE,Y,**Web Registered**,12/9/2020,AIT 622,AIT 622 DL2,Lecture,Online,N,3,3
9,202110,Spring 2021,201670,Fall 2016,CEC2961,NA,'--,GR,Master,VSE,MS Computer Engineering,VS-MS-CPE,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,1/12/2021,ECE 799,ECE 799 011,Thesis,F2F,N,6-Jan,1
10,202110,Spring 2021,201670,Fall 2016,CEC3051,NA,'--,GR,Master,VSE,MS Infrmatn Security & Assrnce,VS-MS-ISA,CS,Computer Science,R,VA,VSE,Y,Drop-Course Cancelled,1/25/2021,ISA 656,ISA 656 DL1,Lecture,Online,N,3,0
11,202110,Spring 2021,201670,Fall 2016,CEC3051,NA,'--,GR,Master,VSE,MS Infrmatn Security & Assrnce,VS-MS-ISA,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,1/28/2021,SWE 637,SWE 637 DL1,Lecture,Online,N,3,3
12,202110,Spring 2021,201670,Fall 2016,CEC3226,NA,'--,GR,Master,VSE,MS Data Analytics Engineering,VS-MS-DAEN,VS,Volgenau School of Engineering,R,VA,VSE,Y,**Web Registered**,1/31/2021,AIT 679,AIT 679 DL1,Lecture,Online,N,3,3
13,202110,Spring 2021,201670,Fall 2016,CEC3226,NA,'--,GR,Master,VSE,MS Data Analytics Engineering,VS-MS-DAEN,VS,Volgenau School of Engineering,R,VA,VSE,Y,**Web Registered**,1/31/2021,DAEN 500,DAEN 500 DL2,Lecture,Online,N,3,3
14,202110,Spring 2021,201670,Fall 2016,CEC3261,NA,'--,GR,Master,VSE,MS Telecommunications,VS-MS-TCOM,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,Drop-Course Cancelled,12/3/2020,AIT 655,AIT 655 001,Lecture,F2F,N,3,0
15,202110,Spring 2021,201670,Fall 2016,CEC3261,NA,'--,GR,Master,VSE,MS Telecommunications,VS-MS-TCOM,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,11/4/2020,INFS 612,INFS 612 DL1,Lecture,Online,N,3,3
16,202110,Spring 2021,201670,Fall 2016,CEC3261,NA,'--,GR,Master,VSE,MS Telecommunications,VS-MS-TCOM,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,11/4/2020,TCOM 514,TCOM 514 001,Lecture,Online,N,3,3
17,202110,Spring 2021,201670,Fall 2016,CEC3355,NA,'--,GR,Master,VSE,MS Data Analytics Engineering,VS-MS-DAEN,VS,Volgenau School of Engineering,R,VA,VSE,Y,**Web Registered**,11/4/2020,AIT 590,AIT 590 DL1,Lec/Sem #1,Online,N,3,3
18,202110,Spring 2021,201670,Fall 2016,CEC3355,NA,'--,GR,Master,VSE,MS Data Analytics Engineering,VS-MS-DAEN,VS,Volgenau School of Engineering,R,VA,VSE,Y,**Web Registered**,11/4/2020,DAEN 690,DAEN 690 DL1,Seminar,Online,N,3,3
19,202110,Spring 2021,201670,Fall 2016,CEC8129,NA,'--,GR,Master,VSE,MS Data Analytics Engineering,VS-MS-DAEN,VS,Volgenau School of Engineering,R,VA,BUS,Y,**Web Registered**,1/18/2021,GBUS 738,GBUS 738 DL1,Lecture,Online,N,3,3
20,202110,Spring 2021,201670,Fall 2016,CEC8129,NA,'--,GR,Master,VSE,MS Data Analytics Engineering,VS-MS-DAEN,VS,Volgenau School of Engineering,R,VA,VSE,Y,**Web Registered**,1/12/2021,STAT 544,STAT 544 002,Lecture,Online,N,3,3
21,202110,Spring 2021,201670,Fall 2016,CEC8129,NA,'--,GR,Master,VSE,MS Data Analytics Engineering,VS-MS-DAEN,VS,Volgenau School of Engineering,R,VA,VSE,Y,**Web Registered**,1/18/2021,AIT 524,AIT 524 DL1,Lecture,Online,N,3,3
22,202110,Spring 2021,201670,Fall 2016,CEC8206,NA,'--,GR,Master,VSE,MS Infrmatn Security & Assrnce,VS-MS-ISA,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,1/27/2021,CS 531,CS 531 DL1,Lecture,Online,N,3,3
23,202110,Spring 2021,201670,Fall 2016,CEC8391,NA,'--,GR,Master,VSE,MS Operations Research,VS-MS-OPRS,SYST,Systems Engr & Operations Rsch,R,VA,VSE,Y,**Web Registered**,11/4/2020,OR 588,OR 588 DL1,Lecture,Online,N,3,3
24,202110,Spring 2021,201670,Fall 2016,CEC9134,NA,'--,GR,Master,VSE,MS Civil & Infrastructure Engr,VS-MS-CEIE,CEIE,"Civil, Environ & Infrastr Engr",R,VA,VSE,Y,**Web Registered**,11/16/2020,CEIE 540,CEIE 540 DL1,Lecture,Online,N,3,3
25,202110,Spring 2021,201670,Fall 2016,CEC9134,NA,'--,GR,Master,VSE,MS Civil & Infrastructure Engr,VS-MS-CEIE,CEIE,"Civil, Environ & Infrastr Engr",R,VA,VSE,Y,**Web Registered**,11/16/2020,CEIE 553,CEIE 553 DL1,Lecture,Online,N,3,3
26,202110,Spring 2021,201670,Fall 2016,CEC9134,NA,'--,GR,Master,VSE,MS Civil & Infrastructure Engr,VS-MS-CEIE,CEIE,"Civil, Environ & Infrastr Engr",R,VA,VSE,Y,**Web Registered**,11/16/2020,CEIE 795,CEIE 795 001,Seminar,F2F,N,0,0
27,202110,Spring 2021,201670,Fall 2016,CEC9686,NA,'--,GR,Master,VSE,MS Electrical Engineering,VS-MS-ELEN,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,12/13/2020,ECE 528,ECE 528 001,Lecture,Online,N,3,3
28,202110,Spring 2021,201670,Fall 2016,CEC9686,NA,'--,GR,Master,VSE,MS Electrical Engineering,VS-MS-ELEN,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,12/13/2020,ECE 528,ECE 528 301,Recitation,Online,N,0,0
