,Stu Term,Unnamed: 1,Stu Admit Term,Unnamed: 3,Record ID,Stu Visa Type,Stu Attribute BAM,Stu Admit Type,Stu Primary Degree Level,Stu Primary Major 1 College,Stu Primary Program,Stu Primary Program Code,Stu Primary Department,Unnamed: 14,Stu New/Returning Ind,Stu Residency Group,Course Sect College,Stu Registered Ind,Registration Status,Registration Status Date,Course Desc,Course Section,Course Sect Schedule Type,Course Sect Instruction Delivery Method Group,Course Sect Wiley Courses Ind,Course Sect Credits,Stu Course Registered Hours
0,201970,Fall 2019,201270,Fall 2012,CEC10,NA,'--,GR,Master,VSE,MS Electrical Engineering,VS-MS-ELEN,ECE,Electrical & Comp. Engineering,R,VA,COS,Y,**Web Registered**,5/31/2019,MATH 621,MATH 621 001,Lecture,F2F,N,3,3
1,201970,Fall 2019,201270,Fall 2012,CEC10,NA,'--,GR,Master,VSE,MS Electrical Engineering,VS-MS-ELEN,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,5/21/2019,ECE 511,ECE 511 001,Lecture,F2F,N,3,3
2,201970,Fall 2019,201270,Fall 2012,CEC10,NA,'--,GR,Master,VSE,MS Electrical Engineering,VS-MS-ELEN,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,5/21/2019,ECE 527,ECE 527 001,Lecture,F2F,N,3,3
3,201970,Fall 2019,201370,Fall 2013,CEC4563,NA,'--,GR,Master,VSE,MS Operations Research,VS-MS-OPRS,SYST,Systems Engr & Operations Rsch,R,VA,VSE,Y,**Web Registered**,4/2/2019,OR 568,OR 568 001,Lecture,F2F,N,3,3
4,201970,Fall 2019,201470,Fall 2014,CEC415,NA,'--,GR,Master,VSE,MS Infrmatn Security & Assrnce,VS-MS-ISA,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,4/2/2019,CFRS 663,CFRS 663 001,Lecture,F2F,N,3,3
5,201970,Fall 2019,201470,Fall 2014,CEC415,NA,'--,GR,Master,VSE,MS Infrmatn Security & Assrnce,VS-MS-ISA,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,5/9/2019,ECE 646,ECE 646 001,Lecture,F2F,N,3,3
6,201970,Fall 2019,201470,Fall 2014,CEC694,NA,'--,GR,Master,VSE,MS Civil & Infrastructure Engr,VS-MS-CEIE,CEIE,"Civil, Environ & Infrastr Engr",R,VA,VSE,Y,**Web Registered**,4/5/2019,CEIE 527,CEIE 527 001,Lecture,F2F,N,3,3
7,201970,Fall 2019,201470,Fall 2014,CEC694,NA,'--,GR,Master,VSE,MS Civil & Infrastructure Engr,VS-MS-CEIE,CEIE,"Civil, Environ & Infrastr Engr",R,VA,VSE,Y,**Web Registered**,4/5/2019,CEIE 795,CEIE 795 003,Seminar,F2F,N,0,0
8,201970,Fall 2019,201470,Fall 2014,CEC1078,NA,'--,GR,Master,VSE,MS Civil & Infrastructure Engr,VS-MS-CEIE,CEIE,"Civil, Environ & Infrastr Engr",R,VA,VSE,Y,**Web Registered**,4/12/2019,CEIE 605,CEIE 605 001,Lecture,F2F,N,3,3
9,201970,Fall 2019,201470,Fall 2014,CEC1078,NA,'--,GR,Master,VSE,MS Civil & Infrastructure Engr,VS-MS-CEIE,CEIE,"Civil, Environ & Infrastr Engr",R,VA,VSE,Y,**Web Registered**,4/16/2019,CEIE 531,CEIE 531 001,Lecture,F2F,N,3,3
10,201970,Fall 2019,201470,Fall 2014,CEC2338,NA,'--,GR,Master,VSE,MS Software Engineering,VS-MS-SWE,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,4/28/2019,SWE 625,SWE 625 001,Lecture,F2F,N,3,3
11,201970,Fall 2019,201470,Fall 2014,CEC2338,NA,'--,GR,Master,VSE,MS Software Engineering,VS-MS-SWE,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,4/28/2019,SWE 642,SWE 642 001,Lecture,F2F,N,3,3
12,201970,Fall 2019,201470,Fall 2014,CEC2338,NA,'--,GR,Master,VSE,MS Software Engineering,VS-MS-SWE,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,4/28/2019,SWE 795,SWE 795 001,Lecture,F2F,N,3,3
13,201970,Fall 2019,201470,Fall 2014,CEC3419,NA,'--,GR,Master,VSE,MS Electrical Engineering,VS-MS-ELEN,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,4/5/2019,ECE 535,ECE 535 001,Lecture,Mix F2F and Online,N,3,3
14,201970,Fall 2019,201470,Fall 2014,CEC4044,NA,'--,GR,Master,VSE,MS Computer Forensics,VS-MS-CFRS,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,4/19/2019,TCOM 552,TCOM 552 001,Lecture,F2F,N,3,3
15,201970,Fall 2019,201470,Fall 2014,CEC5600,NA,'--,GR,Master,VSE,MS Information Systems,VS-MS-ISYS,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,4/2/2019,INFS 640,INFS 640 001,Lecture,F2F,N,3,3
16,201970,Fall 2019,201470,Fall 2014,CEC5946,NA,'--,GR,Master,VSE,MS Data Analytics Engineering,VS-MS-DAEN,VS,Volgenau School of Engineering,R,VA,VSE,Y,**Web Registered**,5/3/2019,DAEN 690,DAEN 690 003,Seminar,F2F,N,3,3
17,201970,Fall 2019,201510,Spring 2015,CEC809,NA,'--,GR,Master,VSE,MS Data Analytics Engineering,VS-MS-DAEN,VS,Volgenau School of Engineering,R,VA,VSE,Y,**Web Registered**,5/15/2019,DAEN 690,DAEN 690 004,Seminar,F2F,N,3,3
18,201970,Fall 2019,201510,Spring 2015,CEC809,NA,'--,GR,Master,VSE,MS Data Analytics Engineering,VS-MS-DAEN,VS,Volgenau School of Engineering,R,VA,VSE,Y,**Web Registered**,5/17/2019,AIT 622,AIT 622 DL1,Lecture,Online,N,3,3
19,201970,Fall 2019,201510,Spring 2015,CEC809,NA,'--,GR,Master,VSE,MS Data Analytics Engineering,VS-MS-DAEN,VS,Volgenau School of Engineering,R,VA,VSE,Y,**Web Registered**,5/29/2019,AIT 614,AIT 614 DL1,Lecture,Online,N,3,3
20,201970,Fall 2019,201510,Spring 2015,CEC1401,NA,'--,GR,Master,VSE,MS Computer Science,VS-MS-CS,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,6/27/2019,CS 681,CS 681 001,Lecture,F2F,N,3,3
21,201970,Fall 2019,201510,Spring 2015,CEC1706,NA,'--,GR,Master,VSE,MS Applied Info Technology,VS-MS-AIT,IST,Info Sciences & Technology,R,VA,VSE,Y,**Web Registered**,4/2/2019,AIT 685,AIT 685 DL1,Seminar,Mix F2F and Online,N,3,3
22,201970,Fall 2019,201510,Spring 2015,CEC4780,NA,'--,GR,Master,VSE,MS Computer Science,VS-MS-CS,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,4/2/2019,CS 580,CS 580 001,Lecture,F2F,N,3,3
