,Stu Term,Unnamed: 1,Stu Admit Term,Unnamed: 3,Record ID,Stu Visa Type,Stu Attribute BAM,Stu Admit Type,Stu Primary Degree Level,Stu Primary Major 1 College,Stu Primary Program,Stu Primary Program Code,Stu Primary Department,Unnamed: 14,Stu New/Returning Ind,Stu Residency Group,Course Sect College,Stu Registered Ind,Registration Status,Registration Status Date,Course Desc,Course Section,Course Sect Schedule Type,Course Sect Instruction Delivery Method Group,Course Sect Wiley Courses Ind,Course Sect Credits,Stu Course Registered Hours
0,202210,Spring 2022,201670,Fall 2016,CEC2635,NA,'--,GR,Master,CEC,MS Data Analytics Engineering,EC-MS-DAEN,EC,Engineering & Computing,R,VA,CEC,Y,**Web Registered**,11/3/2021,DAEN 690,DAEN 690 003,Seminar,F2F,N,3,3
1,202210,Spring 2022,201670,Fall 2016,CEC10691,NA,'--,GR,Master,CEC,MS Computer Forensics,EC-MS-CFRS,ECE,Electrical & Comp. Engineering,R,VA,CEC,Y,**Web Registered**,11/3/2021,DFOR 664,DFOR 664 DL1,Lecture,Online,N,3,3
2,202210,Spring 2022,201670,Fall 2016,CEC10924,NA,'--,GR,Master,CEC,MS Operations Research,EC-MS-OPRS,SYST,Systems Engr & Operations Rsch,R,VA,CEC,Y,**Web Registered**,11/3/2021,OR 664,OR 664 001,Lecture,F2F,N,3,3
3,202210,Spring 2022,201670,Fall 2016,CEC10924,NA,'--,GR,Master,CEC,MS Operations Research,EC-MS-OPRS,SYST,Systems Engr & Operations Rsch,R,VA,CEC,Y,**Web Registered**,11/3/2021,OR 681,OR 681 001,Lecture,F2F,N,3,3
4,202210,Spring 2022,201710,Spring 2017,CEC11222,NA,'--,GR,Master,CEC,MS Data Analytics Engineering,EC-MS-DAEN,EC,Engineering & Computing,R,VA,CEC,Y,**Web Registered**,11/3/2021,OR 541,OR 541 DL1,Lecture,Online,N,3,3
5,202210,Spring 2022,201710,Spring 2017,CEC11222,NA,'--,GR,Master,CEC,MS Data Analytics Engineering,EC-MS-DAEN,EC,Engineering & Computing,R,VA,CEC,Y,**Web Registered**,11/3/2021,OR 588,OR 588 001,Lecture,F2F,N,3,3
6,202210,Spring 2022,201770,Fall 2017,CEC1491,NA,'--,GR,Master,CEC,MS Software Engineering,EC-MS-SWE,CS,Computer Science,R,VA,CEC,N,Wait Listed,11/3/2021,CS 550,CS 550 001,Lecture,F2F,N,3,0
7,202210,Spring 2022,201770,Fall 2017,CEC1491,NA,'--,GR,Master,CEC,MS Software Engineering,EC-MS-SWE,CS,Computer Science,R,VA,CEC,N,Wait Listed,11/3/2021,CS 580,CS 580 001,Lecture,F2F,N,3,0
8,202210,Spring 2022,201770,Fall 2017,CEC1491,NA,'--,GR,Master,CEC,MS Software Engineering,EC-MS-SWE,CS,Computer Science,R,VA,CEC,N,Wait Listed,11/3/2021,CS 583,CS 583 002,Lecture,F2F,N,3,0
9,202210,Spring 2022,201770,Fall 2017,CEC1491,NA,'--,GR,Master,CEC,MS Software Engineering,EC-MS-SWE,CS,Computer Science,R,VA,CEC,N,Wait Listed,11/3/2021,SWE 645,SWE 645 003,Lecture,F2F,N,3,0
10,202210,Spring 2022,201770,Fall 2017,CEC7656,NA,'--,GR,Master,CEC,MS Computer Science,EC-MS-CS,CS,Computer Science,R,VA,CEC,Y,**Web Registered**,11/3/2021,CS 630,CS 630 001,Lecture,F2F,N,3,3
11,202210,Spring 2022,201770,Fall 2017,CEC7656,NA,'--,GR,Master,CEC,MS Computer Science,EC-MS-CS,CS,Computer Science,R,VA,CEC,Y,Wait Listed,11/3/2021,CS 688,CS 688 001,Lecture,F2F,N,3,0
12,202210,Spring 2022,201770,Fall 2017,CEC14065,NA,'--,GR,Master,CEC,MS Data Analytics Engineering,EC-MS-DAEN,EC,Engineering & Computing,R,VA,CEC,Y,**Web Registered**,11/3/2021,DAEN 690,DAEN 690 004,Seminar,F2F,N,3,3
13,202210,Spring 2022,201810,Spring 2018,CEC227,NA,'--,GR,Master,CEC,MS Computer Forensics,EC-MS-CFRS,ECE,Electrical & Comp. Engineering,R,VA,CEC,Y,**Web Registered**,11/3/2021,DFOR 660,DFOR 660 001,Lecture,F2F,N,3,3
14,202210,Spring 2022,201810,Spring 2018,CEC4330,NA,'--,GR,Master,CEC,MS Computer Science,EC-MS-CS,CS,Computer Science,R,VA,CEC,Y,**Web Registered**,11/3/2021,CS 540,CS 540 001,Lecture,F2F,N,3,3
15,202210,Spring 2022,201810,Spring 2018,CEC4330,NA,'--,GR,Master,CEC,MS Computer Science,EC-MS-CS,CS,Computer Science,R,VA,CEC,Y,**Web Registered**,11/3/2021,CS 550,CS 550 001,Lecture,F2F,N,3,3
16,202210,Spring 2022,201810,Spring 2018,CEC7879,NA,'--,GR,Master,CEC,MS Computer Forensics,EC-MS-CFRS,ECE,Electrical & Comp. Engineering,R,VA,CEC,Y,**Web Registered**,11/4/2021,DFOR 664,DFOR 664 DL1,Lecture,Online,N,3,3
17,202210,Spring 2022,201870,Fall 2018,CEC534,NA,'--,GR,Master,CEC,MS Software Engineering,EC-MS-SWE,CS,Computer Science,R,VA,CEC,Y,**Web Registered**,11/3/2021,ISA 650,ISA 650 001,Lecture,F2F,N,3,3
18,202210,Spring 2022,201870,Fall 2018,CEC1270,NA,'--,GR,Master,CEC,MS Computer Science,EC-MS-CS,CS,Computer Science,R,VA,CEC,Y,**Web Registered**,11/3/2021,CS 795,CS 795 004,Lec/Sem #2,F2F,N,3,3
19,202210,Spring 2022,201870,Fall 2018,CEC1304,NA,'--,GR,Master,CEC,MS Software Engineering,EC-MS-SWE,CS,Computer Science,R,VA,CEC,Y,**Web Registered**,11/3/2021,CS 580,CS 580 DL1,Lecture,Online,N,3,3
20,202210,Spring 2022,201870,Fall 2018,CEC1304,NA,'--,GR,Master,CEC,MS Software Engineering,EC-MS-SWE,CS,Computer Science,R,VA,CEC,Y,**Web Registered**,11/3/2021,SWE 625,SWE 625 001,Lecture,F2F,N,3,3
21,202210,Spring 2022,201870,Fall 2018,CEC1304,NA,'--,GR,Master,CEC,MS Software Engineering,EC-MS-SWE,CS,Computer Science,R,VA,CEC,Y,Wait Listed,11/3/2021,SWE 621,SWE 621 001,Lecture,F2F,N,3,0
