,Stu Term,Unnamed: 1,Stu Admit Term,Unnamed: 3,Record ID,Stu Visa Type,Stu Attribute BAM,Stu Admit Type,Stu Primary Degree Level,Stu Primary Major 1 College,Stu Primary Program,Stu Primary Program Code,Stu Primary Department,Unnamed: 14,Stu New/Returning Ind,Stu Residency Group,Course Sect College,Stu Registered Ind,Registration Status,Registration Status Date,Course Desc,Course Section,Course Sect Schedule Type,Course Sect Instruction Delivery Method Group,Course Sect Wiley Courses Ind,Course Sect Credits,Stu Course Registered Hours
0,202070,Fall 2020,201510,Spring 2015,CEC1401,NA,'--,GR,Master,VSE,MS Computer Science,VS-MS-CS,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,7/24/2020,CS 695,CS 695 002,Lec/Sem #1,Online,N,3,3
1,202070,Fall 2020,201510,Spring 2015,CEC1511,NA,'--,GR,Master,VSE,MS Electrical Engineering,VS-MS-ELEN,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,8/12/2020,ECE 799,ECE 799 023,Thesis,F2F,N,1,1
2,202070,Fall 2020,201510,Spring 2015,CEC3210,NA,'--,GR,Master,VSE,MS Computer Science,VS-MS-CS,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,7/22/2020,CS 555,CS 555 001,Lecture,Online,N,3,3
3,202070,Fall 2020,201510,Spring 2015,CEC4780,NA,'--,GR,Master,VSE,MS Computer Science,VS-MS-CS,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,5/1/2020,CS 587,CS 587 001,Lecture,Online,N,3,3
4,202070,Fall 2020,201510,Spring 2015,CEC4780,NA,'--,GR,Master,VSE,MS Computer Science,VS-MS-CS,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,7/17/2020,CS 695,CS 695 002,Lec/Sem #1,Online,N,3,3
5,202070,Fall 2020,201570,Fall 2015,CEC647,NA,'--,GR,Master,VSE,MS Applied Info Technology,VS-MS-AIT,IST,Info Sciences & Technology,R,VA,VSE,Y,**Web Registered**,5/4/2020,AIT 677,AIT 677 001,Lecture,Online,N,3,3
6,202070,Fall 2020,201570,Fall 2015,CEC647,NA,'--,GR,Master,VSE,MS Applied Info Technology,VS-MS-AIT,IST,Info Sciences & Technology,R,VA,VSE,Y,**Web Registered**,5/4/2020,AIT 682,AIT 682 001,Lecture,Online,N,3,3
7,202070,Fall 2020,201570,Fall 2015,CEC902,NA,'--,GR,Master,VSE,MS Operations Research,VS-MS-OPRS,SYST,Systems Engr & Operations Rsch,R,VA,VSE,Y,**Web Registered**,5/1/2020,OR 699,OR 699 002,Lecture,Online,N,3,3
8,202070,Fall 2020,201570,Fall 2015,CEC902,NA,'--,GR,Master,VSE,MS Operations Research,VS-MS-OPRS,SYST,Systems Engr & Operations Rsch,R,VA,VSE,Y,**Web Registered**,5/1/2020,OR 774,OR 774 DL1,Lecture,Online,N,3,3
9,202070,Fall 2020,201570,Fall 2015,CEC1182,NA,'--,GR,Master,VSE,MS Software Engineering,VS-MS-SWE,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,5/1/2020,SWE 645,SWE 645 001,Lecture,Online,N,3,3
10,202070,Fall 2020,201570,Fall 2015,CEC1694,NA,'--,GR,Master,VSE,MS Systems Engineering,VS-MS-SYST,SYST,Systems Engr & Operations Rsch,R,VA,VSE,Y,**Web Registered**,5/5/2020,SYST 699,SYST 699 DL1,Lecture,Online,N,3,3
11,202070,Fall 2020,201610,Spring 2016,CEC7,NA,'--,GR,Master,VSE,MS Information Systems,VS-MS-ISYS,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,5/1/2020,CS 580,CS 580 001,Lecture,Online,N,3,3
12,202070,Fall 2020,201610,Spring 2016,CEC7,NA,'--,GR,Master,VSE,MS Information Systems,VS-MS-ISYS,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,5/1/2020,ISA 681,ISA 681 DL1,Lecture,Online,N,3,3
13,202070,Fall 2020,201610,Spring 2016,CEC1905,NA,'--,GR,Master,VSE,MS Software Engineering,VS-MS-SWE,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,5/1/2020,SWE 621,SWE 621 002,Lecture,Online,N,3,3
14,202070,Fall 2020,201610,Spring 2016,CEC1905,NA,'--,GR,Master,VSE,MS Software Engineering,VS-MS-SWE,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,5/1/2020,SWE 632,SWE 632 002,Lecture,Online,N,3,3
15,202070,Fall 2020,201610,Spring 2016,CEC8397,NA,'--,GR,Master,VSE,MS Data Analytics Engineering,VS-MS-DAEN,VS,Volgenau School of Engineering,R,VA,VSE,Y,**Web Registered**,8/10/2020,OR 568,OR 568 001,Lecture,Online,N,3,3
16,202070,Fall 2020,201610,Spring 2016,CEC8917,NA,'--,GR,Master,VSE,MS Computer Engineering,VS-MS-CPE,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,5/4/2020,CS 583,CS 583 002,Lecture,Online,N,3,3
17,202070,Fall 2020,201610,Spring 2016,CEC8917,NA,'--,GR,Master,VSE,MS Computer Engineering,VS-MS-CPE,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,5/4/2020,ECE 616,ECE 616 001,Lecture,Online,N,3,3
18,202070,Fall 2020,201610,Spring 2016,CEC8917,NA,'--,GR,Master,VSE,MS Computer Engineering,VS-MS-CPE,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,5/4/2020,ECE 795,ECE 795 001,Seminar,F2F,N,0,0
19,202070,Fall 2020,201610,Spring 2016,CEC8917,NA,'--,GR,Master,VSE,MS Computer Engineering,VS-MS-CPE,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,5/5/2020,ECE 797,ECE 797 001,Research,F2F,N,0,0
20,202070,Fall 2020,201610,Spring 2016,CEC9756,NA,'--,GR,Master,VSE,MS Systems Engineering,VS-MS-SYST,SYST,Systems Engr & Operations Rsch,R,VA,VSE,Y,**Web Registered**,6/25/2020,SYST 699,SYST 699 DL1,Lecture,Online,N,3,3
21,202070,Fall 2020,201670,Fall 2016,CEC117,NA,'--,GR,Master,VSE,MS Telecommunications,VS-MS-TCOM,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,8/6/2020,TCOM 750,TCOM 750 001,Seminar,Mix F2F and Online,N,3,3
