,Stu Term,Unnamed: 1,Stu Admit Term,Unnamed: 3,Record ID,Stu Visa Type,Stu Attribute BAM,Stu Admit Type,Stu Primary Degree Level,Stu Primary Major 1 College,Stu Primary Program,Stu Primary Program Code,Stu Primary Department,Unnamed: 14,Stu New/Returning Ind,Stu Residency Group,Course Sect College,Stu Registered Ind,Registration Status,Registration Status Date,Course Desc,Course Section,Course Sect Schedule Type,Course Sect Instruction Delivery Method Group,Course Sect Wiley Courses Ind,Course Sect Credits,Stu Course Registered Hours
0,201910,Spring 2019,201370,Fall 2013,CEC845,NA,'--,GR,Master,VSE,MENG GeoConStruct Engineering,VS-MENG-GCS,CEIE,"Civil, Environ & Infrastr Engr",R,VA,VSE,Y,**Web Registered**,11/6/2018,CEIE 573,CEIE 573 001,Lecture,F2F,N,3,3
1,201910,Spring 2019,201370,Fall 2013,CEC1245,NA,'--,GR,Master,VSE,MS Electrical Engineering,VS-MS-ELEN,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,11/6/2018,ECE 508,ECE 508 001,Lecture,F2F,N,3,3
2,201910,Spring 2019,201370,Fall 2013,CEC1245,NA,'--,GR,Master,VSE,MS Electrical Engineering,VS-MS-ELEN,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,11/6/2018,ECE 795,ECE 795 001,Seminar,F2F,N,0,0
3,201910,Spring 2019,201370,Fall 2013,CEC4573,NA,'--,GR,Master,VSE,MS Software Engineering,VS-MS-SWE,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,11/6/2018,ISA 562,ISA 562 001,Lecture,F2F,N,3,3
4,201910,Spring 2019,201470,Fall 2014,CEC100,NA,'--,GR,Master,VSE,MS Data Analytics Engineering,VS-MS-DAEN,VS,Volgenau School of Engineering,R,VA,VSE,Y,**Web Registered**,11/6/2018,OR 603,OR 603 001,Lecture,F2F,N,3,3
5,201910,Spring 2019,201470,Fall 2014,CEC736,NA,'--,GR,Master,VSE,MS Applied Info Technology,VS-MS-AIT,IST,Info Sciences & Technology,R,VA,VSE,Y,**Web Registered**,11/6/2018,AIT 685,AIT 685 DL1,Seminar,Mix F2F and Online,N,3,3
6,201910,Spring 2019,201470,Fall 2014,CEC5600,NA,'--,GR,Master,VSE,MS Infrmatn Security & Assrnce,VS-MS-ISA,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,11/6/2018,CS 530,CS 530 002,Lecture,F2F,N,3,3
7,201910,Spring 2019,201470,Fall 2014,CEC5600,NA,'--,GR,Master,VSE,MS Infrmatn Security & Assrnce,VS-MS-ISA,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,11/6/2018,CS 550,CS 550 001,Lecture,F2F,N,3,3
8,201910,Spring 2019,201470,Fall 2014,CEC6319,NA,'--,GR,Master,VSE,MS Computer Science,VS-MS-CS,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,11/6/2018,CS 672,CS 672 001,Lecture,F2F,N,3,3
9,201910,Spring 2019,201470,Fall 2014,CEC6319,NA,'--,GR,Master,VSE,MS Computer Science,VS-MS-CS,CS,Computer Science,R,VA,VSE,Y,Wait Listed,11/6/2018,CS 682,CS 682 001,Lecture,F2F,N,3,0
10,201910,Spring 2019,201510,Spring 2015,CEC1401,NA,'--,GR,Master,VSE,MS Computer Science,VS-MS-CS,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,11/6/2018,CS 650,CS 650 001,Lecture,F2F,N,3,3
11,201910,Spring 2019,201510,Spring 2015,CEC4780,NA,'--,GR,Master,VSE,MS Computer Science,VS-MS-CS,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,11/6/2018,CS 550,CS 550 001,Lecture,F2F,N,3,3
12,201910,Spring 2019,201510,Spring 2015,CEC6734,NA,'--,GR,Master,VSE,MS Applied Info Technology,VS-MS-AIT,IST,Info Sciences & Technology,R,VA,VSE,Y,**Web Registered**,11/6/2018,AIT 677,AIT 677 001,Lecture,F2F,N,3,3
13,201910,Spring 2019,201570,Fall 2015,CEC539,NA,'--,GR,Master,VSE,MS Data Analytics Engineering,VS-MS-DAEN,VS,Volgenau School of Engineering,R,VA,VSE,Y,**Web Registered**,11/6/2018,OR 568,OR 568 001,Lecture,F2F,N,3,3
14,201910,Spring 2019,201570,Fall 2015,CEC539,NA,'--,GR,Master,VSE,MS Data Analytics Engineering,VS-MS-DAEN,VS,Volgenau School of Engineering,R,VA,VSE,Y,**Web Registered**,11/6/2018,OR 664,OR 664 DL1,Lecture,Online,N,3,3
15,201910,Spring 2019,201570,Fall 2015,CEC1109,NA,'--,GR,Master,VSE,MS Data Analytics Engineering,VS-MS-DAEN,VS,Volgenau School of Engineering,R,VA,VSE,Y,**Web Registered**,11/6/2018,OR 664,OR 664 DL1,Lecture,Online,N,3,3
