,Stu Term,Unnamed: 1,Stu Admit Term,Unnamed: 3,Record ID,Stu Visa Type,Stu Attribute BAM,Stu Admit Type,Stu Primary Degree Level,Stu Primary Major 1 College,Stu Primary Program,Stu Primary Program Code,Stu Primary Department,Unnamed: 14,Stu New/Returning Ind,Stu Residency Group,Course Sect College,Stu Registered Ind,Registration Status,Registration Status Date,Course Desc,Course Section,Course Sect Schedule Type,Course Sect Instruction Delivery Method Group,Course Sect Wiley Courses Ind,Course Sect Credits,Stu Course Registered Hours
0,202010,Spring 2020 - COVID-19,201470,Fall 2014,CEC167,NA,'--,GR,Master,VSE,MENG GeoConStruct Engineering,VS-MENG-GCS,CEIE,"Civil, Environ & Infrastr Engr",R,VA,VSE,Y,**Web Registered**,12/22/2019,CEIE 524,CEIE 524 001,Lecture,F2F,N,3,3
1,202010,Spring 2020 - COVID-19,201470,Fall 2014,CEC1078,NA,'--,GR,Master,VSE,MS Civil & Infrastructure Engr,VS-MS-CEIE,CEIE,"Civil, Environ & Infrastr Engr",R,VA,VSE,Y,**Web Registered**,11/17/2019,CEIE 639,CEIE 639 002,Lec/Sem #1,F2F,N,3,3
2,202010,Spring 2020 - COVID-19,201470,Fall 2014,CEC1078,NA,'--,GR,Master,VSE,MS Civil & Infrastructure Engr,VS-MS-CEIE,CEIE,"Civil, Environ & Infrastr Engr",R,VA,VSE,Y,**Web Registered**,11/21/2019,CEIE 535,CEIE 535 001,Lecture,F2F,N,3,3
3,202010,Spring 2020 - COVID-19,201470,Fall 2014,CEC2338,NA,'--,GR,Master,VSE,MS Software Engineering,VS-MS-SWE,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,11/6/2019,SWE 681,SWE 681 001,Lecture,F2F,N,3,3
4,202010,Spring 2020 - COVID-19,201470,Fall 2014,CEC2338,NA,'--,GR,Master,VSE,MS Software Engineering,VS-MS-SWE,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,11/6/2019,SWE 699,SWE 699 001,Lec/Sem #1,F2F,N,3,3
5,202010,Spring 2020 - COVID-19,201470,Fall 2014,CEC4044,NA,'--,GR,Master,VSE,MS Telecommunications,VS-MS-TCOM,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,11/23/2019,TCOM 690,TCOM 690 002,Lecture,F2F,N,3,3
6,202010,Spring 2020 - COVID-19,201470,Fall 2014,CEC4044,NA,'--,GR,Master,VSE,MS Telecommunications,VS-MS-TCOM,ECE,Electrical & Comp. Engineering,R,VA,VSE,Y,**Web Registered**,12/13/2019,TCOM 616,TCOM 616 001,Lecture,F2F,N,3,3
7,202010,Spring 2020 - COVID-19,201470,Fall 2014,CEC5600,NA,'--,GR,Master,VSE,MS Information Systems,VS-MS-ISYS,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,11/5/2019,ISA 652,ISA 652 001,Lecture,F2F,N,3,3
8,202010,Spring 2020 - COVID-19,201470,Fall 2014,CEC5600,NA,'--,GR,Master,VSE,MS Information Systems,VS-MS-ISYS,CS,Computer Science,R,VA,VSE,Y,**Web Registered**,11/5/2019,SWE 625,SWE 625 001,Lecture,F2F,N,3,3
9,202010,Spring 2020 - COVID-19,201470,Fall 2014,CEC5946,NA,'--,GR,Master,VSE,MS Data Analytics Engineering,VS-MS-DAEN,VS,Volgenau School of Engineering,R,VA,VSE,Y,**Web Registered**,11/5/2019,OR 531,OR 531 001,Lecture,F2F,N,3,3
10,202010,Spring 2020 - COVID-19,201510,Spring 2015,CEC809,NA,'--,GR,Master,VSE,MS Data Analytics Engineering,VS-MS-DAEN,VS,Volgenau School of Engineering,R,VA,VSE,Y,**Web Registered**,11/18/2019,OR 604,OR 604 001,Lecture,F2F,N,3,3
11,202010,Spring 2020 - COVID-19,201510,Spring 2015,CEC809,NA,'--,GR,Master,VSE,MS Data Analytics Engineering,VS-MS-DAEN,VS,Volgenau School of Engineering,R,VA,VSE,Y,**Web Registered**,12/3/2019,DAEN 690,DAEN 690 005,Seminar,F2F,N,3,3
