,rec_id,semester,program,min_waitlisted_students
686,687,202270,EC-MS-DFOR,0
687,688,202270,EC-MS-ELEN,0
688,689,202270,EC-MS-ISA,0
689,690,202270,EC-MS-ISYS,0
690,691,202270,EC-MS-OPRS,0
691,692,202270,EC-MS-STAT,0
692,693,202270,EC-MS-SWE,0
693,694,202270,EC-MS-SYST,0
694,695,202270,EC-MS-TCOM,0
695,696,201770,EC-MS-CEIE,34
696,697,201770,EC-MS-CPE,0
697,698,201770,EC-MS-CS,230
698,699,201770,EC-MS-DAEN,237
699,700,201770,EC-MS-ELEN,32
700,701,201770,EC-MS-SWE,0
701,702,201770,EC-MS-SYST,48
702,703,201810,EC-MS-AIT,636
703,704,201810,EC-MS-CPE,22
704,705,201810,EC-MS-CS,230
705,706,201810,EC-MS-DAEN,242
706,707,201810,EC-MS-OPRS,57
707,708,201870,EC-MS-AIT,0
708,709,201870,EC-MS-BSTA,0
709,710,201870,EC-MS-CEIE,0
710,711,201870,EC-MS-CS,0
711,712,201870,EC-MS-DAEN,0
712,713,201870,EC-MS-ELEN,0
713,714,201870,EC-MS-ISA,0
714,715,201870,EC-MS-STAT,0
715,716,201870,EC-MS-TCOM,23
716,717,201910,EC-MS-AIT,10
717,718,201910,EC-MS-CEIE,0
718,719,201910,EC-MS-CPE,0
719,720,201910,EC-MS-CS,0
720,721,201910,EC-MS-DAEN,191
721,722,201910,EC-MS-ELEN,0
722,723,201910,EC-MS-ISA,0
723,724,201910,EC-MS-OPRS,0
724,725,201910,EC-MS-STAT,0
725,726,201910,EC-MS-SWE,0
726,727,201970,EC-MS-AIT,0
727,728,201970,EC-MS-CEIE,0
728,729,201970,EC-MS-CPE,0
729,730,201970,EC-MS-CS,0
730,731,201970,EC-MS-DAEN,0
731,732,201970,EC-MS-ELEN,0
732,733,201970,EC-MS-ISA,0
733,734,201970,EC-MS-OPRS,0
734,735,201970,EC-MS-STAT,0
735,736,201970,EC-MS-SWE,0
736,737,201970,EC-MS-SYST,0
737,738,201970,EC-MS-TCOM,0
738,739,202010,EC-MS-AIT,0
739,740,202010,EC-MS-BIOE,0
740,741,202010,EC-MS-BSTA,0
741,742,202010,EC-MS-CEIE,0
742,743,202010,EC-MS-CPE,0
743,744,202010,EC-MS-CS,0
744,745,202010,EC-MS-DAEN,0
745,746,202010,EC-MS-ELEN,0
746,747,202010,EC-MS-ISA,0
747,748,202010,EC-MS-ISYS,0
748,749,202010,EC-MS-OPRS,0
749,750,202010,EC-MS-SWE,0
750,751,202010,EC-MS-SYST,0
751,752,202010,EC-MS-TCOM,0
752,753,202070,EC-MS-AIT,0
753,754,202070,EC-MS-BIOE,0
754,755,202070,EC-MS-BSTA,0
755,756,202070,EC-MS-CEIE,0
756,757,202070,EC-MS-CPE,0
757,758,202070,EC-MS-CS,0
758,759,202070,EC-MS-DAEN,0
759,760,202070,EC-MS-ELEN,0
760,761,202070,EC-MS-ISA,0
761,762,202070,EC-MS-ISYS,0
762,763,202070,EC-MS-OPRS,0
763,764,202070,EC-MS-STAT,0
764,765,202070,EC-MS-SWE,0
765,766,202070,EC-MS-SYST,0
766,767,202070,EC-MS-TCOM,0
767,768,202110,EC-MS-AIT,0
768,769,202110,EC-MS-BIOE,0
769,770,202110,EC-MS-BSTA,0
770,771,202110,EC-MS-CEIE,0
771,772,202110,EC-MS-CPE,0
772,773,202110,EC-MS-CS,0
773,774,202110,EC-MS-CYSE,0
774,775,202110,EC-MS-DAEN,0
775,776,202110,EC-MS-ELEN,0
776,777,202110,EC-MS-ISA,0
777,778,202110,EC-MS-ISYS,0
778,779,202110,EC-MS-OPRS,0
779,780,202110,EC-MS-STAT,0
780,781,202110,EC-MS-SWE,0
781,782,202110,EC-MS-SYST,0
782,783,202110,EC-MS-TCOM,0
783,784,202170,EC-MS-AIT,0
784,785,202170,EC-MS-BIOE,0
785,786,202170,EC-MS-BSTA,0
786,787,202170,EC-MS-CEIE,0
787,788,202170,EC-MS-CPE,0
788,789,202170,EC-MS-CS,0
789,790,202170,EC-MS-CYSE,0
790,791,202170,EC-MS-DAEN,0
791,792,202170,EC-MS-DFOR,0
792,793,202170,EC-MS-ELEN,0
793,794,202170,EC-MS-ISA,0
794,795,202170,EC-MS-ISYS,0
795,796,202170,EC-MS-OPRS,0
796,797,202170,EC-MS-STAT,0
797,798,202170,EC-MS-SWE,0
798,799,202170,EC-MS-SYST,0
799,800,202170,EC-MS-TCOM,0
800,801,202210,EC-MS-AIT,74
801,802,202210,EC-MS-BIOE,0
802,803,202210,EC-MS-CEIE,0
803,804,202210,EC-MS-CPE,0
804,805,202210,EC-MS-CS,0
805,806,202210,EC-MS-CYSE,0
806,807,202210,EC-MS-DAEN,0
807,808,202210,EC-MS-DFOR,0
808,809,202210,EC-MS-ELEN,0
809,810,202210,EC-MS-ISA,0
810,811,202210,EC-MS-ISYS,0
811,812,202210,EC-MS-OPRS,34
812,813,202210,EC-MS-STAT,0
813,814,202210,EC-MS-SWE,0
814,815,202210,EC-MS-SYST,0
815,816,202210,EC-MS-TCOM,0
816,817,202270,EC-MS-AIT,0
817,818,202270,EC-MS-BIOE,0
818,819,202270,EC-MS-BSTA,0
819,820,202270,EC-MS-CEIE,0
820,821,202270,EC-MS-CPE,0
821,822,202270,EC-MS-CS,0
822,823,202270,EC-MS-CYSE,0
823,824,202270,EC-MS-DAEN,0
