,semester,program,course_code,sect_id,waitlisted,number_of_students,percentage_visa_students
1281,201970,EC-MS-CPE,ECE542,DL2,T,0.0,0.0
1282,201970,EC-MS-CPE,ECE542,DL1,T,0.0,0.0
1283,201970,EC-MS-CPE,ECE545,001,T,0.0,0.0
1284,201970,EC-MS-CPE,ECE545,003,T,0.0,0.0
1285,201970,EC-MS-CPE,ECE545,002,T,0.0,0.0
1286,201970,EC-MS-CPE,ECE545,DL2,T,0.0,0.0
1287,201970,EC-MS-CPE,ECE545,DL1,T,0.0,0.0
1288,201970,EC-MS-CPE,ECE646,001,T,0.0,0.0
1289,201970,EC-MS-CPE,ECE646,003,T,0.0,0.0
1290,201970,EC-MS-CPE,ECE646,002,T,0.0,0.0
1291,201970,EC-MS-CPE,ECE646,DL2,T,0.0,0.0
1292,201970,EC-MS-CPE,ECE646,DL1,T,0.0,0.0
1293,201970,EC-MS-CPE,ECE699,004,T,0.0,0.0
1294,201970,EC-MS-CS,CS530,001,F,6.0,0.0
